"State ",District,Message
Chhattisgarh,Raipur
Chhattisgarh,Bilaspur
Chhattisgarh,"Janjgir Champa"
Chhattisgarh,Durg
Chhattisgarh,Korba
Chhattisgarh,Rajnandgaon
Chhattisgarh,Raigarh
Chhattisgarh,Sarguja
Chhattisgarh,Jashpur
Chhattisgarh,Mahasamund
Gujarat,Surat
Maharashtra,Pune
Maharashtra,Mumbai
Maharashtra,Thane
Maharashtra,Nashik
Maharashtra,Satara
Maharashtra,Ahmednagar
Maharashtra,Kolhapur
Maharashtra,Jalgaon
Maharashtra,Amravati
Maharashtra,Aurangabad
Maharashtra,Akola
Maharashtra,Nagpur
Karnataka,Bangalore
Karnataka,Mysore
Karnataka,Kolar
Karnataka,"Bangalore Rural"
Karnataka,Chikballapur
Karnataka,Hassan
Karnataka,Tumkur
"Tamil Nadu",Chennai
"Tamil Nadu",Kancheepuram
"Tamil Nadu",Thiruvallur
"Tamil Nadu",Vellore
"Tamil Nadu",Coimbatore
Goa,"North Goa"
Gujarat,Ahmedabad
Gujarat,Vadodara
Gujarat,Bharuch
Gujarat,Kheda
Gujarat,Patan
Gujarat,Gandhinagar
Madhya,Indore
Madhya,Ratlam
Madhya,Dhar
Madhya,Vidisha
Rajasthan,Bhilwara
Rajasthan,Jodhpur
Rajasthan,Nagaur
Rajasthan,Dungarpur
Rajasthan,Ajmer
Rajasthan,Bundi
Rajasthan,Pali
Rajasthan,"Sawai Madhopur"
Rajasthan,Baran
Rajasthan,Kota
"Himachal Pradesh",Sirmur
"Himachal Pradesh",Solan
"Himachal Pradesh",Shimla
Punjab,Patiala
Punjab,Gurdaspur
Punjab,Ludhiana
Punjab,Amritsar
Punjab,Hoshiarpur
Punjab,Jalandhar
Punjab,Chandigarh
Uttarakhand,Dehradun
Uttarakhand,Haridwar
Haryana,Gurgaon
Haryana,Hisar
Haryana,Panipat
Haryana,Sonepat
Haryana,Jhajjar
Haryana,Karnal
Haryana,Faridabad
Haryana,Rohtak
Rajasthan,Jaipur
Rajasthan,Jhunjhunu
Rajasthan,Alwar
Rajasthan,Bharatpur
Rajasthan,Churu
"Uttar Pradesh",Ghaziabad
"Uttar Pradesh",Meerut
"Uttar Pradesh","Gautam Budh Nagar"
"Uttar Pradesh",Aligarh
"Uttar Pradesh",Agra
"Uttar Pradesh",Bijnor
"Uttar Pradesh",Mathura
"Uttar Pradesh",Bulandshahar
"Uttar Pradesh",Lucknow
"Uttar Pradesh",KanpurNagar
"Uttar Pradesh",Barabanki
"Uttar Pradesh",Allahabad
"Uttar Pradesh",Faizabad
"Uttar Pradesh",Sitapur
"Uttar Pradesh",Unnao
"Uttar Pradesh",Jhansi
Bihar,Patna
Sikkim,"East Sikkim"
Sikkim,"South Sikkim"
